tick,scenario,seed,employed,at_risk,in_training,unemployed,re_employed,seats_in_use,unemployment_rate,ever_unemployed_share,avg_unemployment_time,avg_unemployment_time_exposed,avg_at_risk_time,unemployment_burden_gini_exposed,unemployment_duration_gini,consumption_gini,income_gini,avg_supportive_coworkers,peer_boost_sd,avg_liquid_assets,min_liquid_assets,avg_consumption,min_consumption,labor_income_total,transfer_income_total,training_outlays,tax_revenue,government_balance,automation_output,desired_private_investment,private_investment,total_output,capital_stock,goods_market_gap
0,human_centric,-627064729,24,3,0,1,0,0,3.571428571428571,0,0,0,0,0,0,0.12290917153775838,0.13467001533610157,0,0,0.9674539457247704,0.654674722502941,3.8698157828990825,2.618698890011764,43.77123757918876,0.7553939105803165,0,8.023223721481507,7.2678298109011905,0.8022275401529453,0.09626730481835342,0,44.573465119341705,12,-63.78137680183265
1,human_centric,-627064729,24,1,2,1,0,6,3.571428571428571,3.571428571428571,0.03571428571428571,1,0.03571428571428571,0,0.9642857142857142,0.14321531890984396,0.15720405529396353,0.6785714285714286,0.03333928518291801,0.5043124770808903,0.28201372661665136,2.0172499083235627,1.128054906466606,41.2422496323438,2.272786678687296,3.5999999999999996,7.769440752374502,1.8966540736872055,1.9213101030700996,0.23055721236841195,0,43.1635597354139,12,-16.919437697645847
2,human_centric,-627064729,24,0,3,1,0,10,3.571428571428571,3.571428571428571,0.07142857142857142,2,0.03571428571428571,0,0.9642857142857142,0.16141067192041447,0.16772354013084856,1.1428571428571428,0.04132078662619345,0.40789815682526853,0.20748152743939352,1.6315926273010746,0.8299261097575743,39.91714034794775,3.067852249324927,6,7.635190829320414,-1.4326614200045134,2.5005864816101084,0.300070377793213,0,42.41772682955786,11.5968,-9.266866734872231
3,human_centric,-627064729,24,0,4,0,0,12,0,3.571428571428571,0.07142857142857142,2,0.03571428571428571,0,0.9642857142857142,0.16639433603412357,0.16772354013084856,1.3571428571428572,0.04130797993547019,0.38861529277414414,0.19089612494084085,1.554461171096577,0.7635844997633634,39.91714034794776,3.0678522493249276,7.199999999999999,7.638237559808817,-2.62961468951611,2.5175127621012257,0.3021015314521471,0,42.434653110048984,11.208550268928,-8.290259680655172
4,human_centric,-627064729,24,0,4,0,0,12,0,3.571428571428571,0.07142857142857142,2,0.03571428571428571,0,0.9642857142857142,0.1674550346948942,0.16772354013084856,1.3571428571428572,0.04130797993547018,0.38475871996391925,0.18697239396630616,1.5390348798556774,0.7478895758652251,39.91714034794775,3.067852249324927,7.199999999999999,7.641017070876981,-2.626835178447945,2.5329544902576986,0.3039545388309238,0,42.45009483820545,10.834604281120836,-7.842881797753531
5,human_centric,-627064729,24,0,4,0,0,8,0,3.571428571428571,0.07142857142857142,2,0.03571428571428571,0,0.9642857142857142,0.16724974713619378,0.16731602501116383,0.8928571428571429,0.043757085594021694,0.38691597683044565,0.1861876477713993,1.5476639073217833,0.7447505910855973,40.32714034794774,3.0678522493249276,4.8,7.717339987863901,-0.15051226146102703,2.5469706957405975,0.3056364834888717,0,42.87411104368834,10.474349557708667,-5.260478361321598
6,human_centric,-627064729,24,0,2,1,1,3,3.571428571428571,7.142857142857142,0.10714285714285714,1.5,0.03571428571428571,0.16666666666666674,0.9404761904761905,0.15273730359257254,0.15048050500459675,0.39285714285714285,0.03016708322083708,0.3944714493202217,0.18887829052474991,1.577885797280887,0.7555131620990001,42.06846914914435,2.3238864044342367,1.7999999999999998,7.927371749593289,3.8034853451590527,1.9724850152628113,0.23669820183153734,0,44.04095416440716,10.127205471380286,-1.939848159457692
7,human_centric,-627064729,24,0,1,2,1,4,7.142857142857142,10.714285714285714,0.17857142857142858,1.6666666666666667,0.03571428571428571,0.1333333333333333,0.907142857142857,0.15009133963184706,0.1495075358482656,0.5357142857142857,0.03277306934167252,0.3966254009610341,0.18885444022101328,1.586501603844137,0.7554177608840531,42.15846914914435,2.323886404434237,2.4,7.945143786601071,3.221257382166834,1.981218554194935,0.2377462265033922,0,44.139687703339284,9.792621220041012,-2.682357204296538
8,human_centric,-627064729,24,0,2,1,1,9,3.571428571428571,10.714285714285714,0.21428571428571427,2,0.03571428571428571,0.22222222222222232,0.9166666666666665,0.1496183107689142,0.1495075358482656,1.1428571428571428,0.042151151546779564,0.3970561912891966,0.18884967016026588,1.588224765156787,0.7553986806410639,42.158469149144345,2.323886404434237,5.3999999999999995,7.946540799898873,0.2226543954646365,1.9889797391827284,0.2386775687019274,0,44.14744888832708,9.470073954332022,-5.722844536062959
9,human_centric,-627064729,24,0,2,1,1,11,3.571428571428571,10.714285714285714,0.25,2.3333333333333335,0.03571428571428571,0.2857142857142858,0.9234693877551019,0.14952968602598093,0.1495075358482656,1.4285714285714286,0.04774269660759726,0.3971423493548291,0.18884871614811638,1.588569397419317,0.755394864592466,42.15846914914434,2.3238864044342367,6.6,7.947769788073481,-0.9761166163607555,1.9958074512638964,0.23949689415166756,0,44.15427660040823,9.159067045491907,-6.925666527332643
10,human_centric,-627064729,24,0,2,1,1,12,3.571428571428571,10.714285714285714,0.2857142857142857,2.6666666666666665,0.03571428571428571,0.3333333333333335,0.9285714285714284,0.1495119656916022,0.1495075358482656,1.5714285714285714,0.04696052603294607,0.39715958096795545,0.18884852534568652,1.5886383238718227,0.7553941013827463,42.15846914914434,2.323886404434237,7.199999999999999,7.948837484443419,-1.5750489199908175,2.001739097763548,0.24020869173162576,0,44.160208246907885,8.859128481384005,-7.521664821503148
11,human_centric,-627064729,24,0,2,1,1,9,3.571428571428571,10.714285714285714,0.32142857142857145,3,0.03571428571428571,0.37037037037037046,0.9325396825396823,0.15248605596065223,0.15328257779284882,1.25,0.041062283315849726,0.39980588443343806,0.18884848718520053,1.5992235377337525,0.7553939487408025,42.52846914914434,2.3238864044342367,5.3999999999999995,8.016350368509372,0.292463964075135,2.0068106759077255,0.24081728110892706,0,44.535279825052065,8.569809379707584,-5.642979231493002
12,human_centric,-627064729,24,0,2,1,1,6,3.571428571428571,10.714285714285714,0.35714285714285715,3.3333333333333335,0.03571428571428571,0.40000000000000013,0.9357142857142857,0.1499065881852486,0.1493665804617792,0.8571428571428571,0.03861867574635511,0.4030494308408201,0.18884847955310335,1.612197723363281,0.7553939182124136,42.908469149144345,2.3238864044342367,3.5999999999999996,8.085514676791988,2.161628272357751,2.0110568330333622,0.24132681996400346,0,44.91952598217771,8.290682608474999,-3.8220102719941718
13,human_centric,-627064729,24,0,0,2,2,2,7.142857142857142,10.714285714285714,0.42857142857142855,4,0.03571428571428571,0.38888888888888906,0.9345238095238095,0.138394351673496,0.13776568440576686,0.4642857142857143,0.036637795271113716,0.4109760750953315,0.18884847802668392,1.6439043003813265,0.7553939121067359,44.72244561600684,1.5288208337966056,1.2,8.300431181407065,5.571610347610459,1.3910609473657451,0.1669273136838894,0,46.11350656337258,8.021341504786408,-1.1158138473045625
14,human_centric,-627064729,24,0,0,2,2,4,7.142857142857142,10.714285714285714,0.5,4.666666666666667,0.03571428571428571,0.38095238095238093,0.9336734693877551,0.1375739595967529,0.13746646540096608,0.6428571428571429,0.04227023168581509,0.4133471182319481,0.1888484777214,1.6533884729277923,0.7553939108856004,44.83244561600685,1.5288208337966056,2.4,8.320566045943128,4.391745212146523,1.3929213058994214,0.16715055670793055,0,46.22536692190627,7.761398683781893,-2.469510320071899
