tick,scenario,seed,employed,at_risk,in_training,unemployed,re_employed,seats_in_use,unemployment_rate,ever_unemployed_share,avg_unemployment_time,avg_unemployment_time_exposed,avg_at_risk_time,unemployment_burden_gini_exposed,unemployment_duration_gini,consumption_gini,income_gini,avg_supportive_coworkers,peer_boost_sd,avg_liquid_assets,min_liquid_assets,avg_consumption,min_consumption,labor_income_total,transfer_income_total,training_outlays,tax_revenue,government_balance,automation_output,desired_private_investment,private_investment,total_output,capital_stock,goods_market_gap
0,human_centric,42424,24,3,0,1,0,0,3.571428571428571,0,0,0,0,0,0,0.11350559119161474,0.12709266929048524,0,0,0.9718268472892725,0.7219114875845745,3.8873073891570913,2.8876459503382996,43.80374273413868,0.8751149688059864,0,8.014186081818037,7.139071113012051,0.7195132759615255,0.08634159311538306,0,44.523256010100205,12,-64.32135088629835
1,human_centric,42424,24,0,3,1,0,5,3.571428571428571,3.571428571428571,0.03571428571428571,1,0,0,0.9642857142857142,0.1414919573436384,0.1608307081453877,0.5714285714285714,0.024527276685096973,0.5025410816513081,0.3071028381801648,2.0101643266052327,1.2284113527206597,39.968097744485796,3.1765019625977216,3,7.594351323119383,1.4178493605216618,2.2227429395107805,0.26672915274129366,0,42.190840683996576,12,-17.093760460949945
2,human_centric,42424,24,0,4,0,0,7,0,3.571428571428571,0.03571428571428571,1,0,0,0.9642857142857142,0.15607470182000927,0.1608307081453877,0.7857142857142857,0.03431105765272586,0.4086839285237152,0.2094880074728982,1.6347357140948613,0.8379520298915928,39.96809774448579,3.1765019625977216,4.2,7.597696438617189,0.22119447601946707,2.241326914498591,0.2689592297398309,0,42.20942465898438,11.627040000000001,-7.763175335671709
3,human_centric,42424,24,0,4,0,0,12,0,3.571428571428571,0.03571428571428571,1,0,0,0.9642857142857142,0.15983371350704312,0.1608307081453877,1.4642857142857142,0.04405834275296299,0.38991249789819665,0.18996504133144487,1.5596499915927866,0.7598601653257796,39.968097744485796,3.1765019625977216,7.199999999999999,7.6007847898630665,-2.7757171727346543,2.2584844214201314,0.27101813057041574,0,42.226582165905924,11.266061874675456,-8.6436175986921
4,human_centric,42424,24,0,4,0,0,12,0,3.571428571428571,0.03571428571428571,1,0,0,0.9642857142857142,0.16062937063243288,0.1608307081453877,1.4642857142857142,0.04405834275296299,0.386158211773093,0.18606044810315414,1.544632847092372,0.744241792412617,39.96809774448579,3.1765019625977216,7.199999999999999,7.603625867434349,-2.7728760951633715,2.27426818570504,0.2729121822846048,0,42.24236593019083,10.91665684492043,-8.207353788395597
5,human_centric,42424,24,0,4,0,0,10,0,3.571428571428571,0.03571428571428571,1,0,0,0.9642857142857142,0.1607858846638428,0.16090522008289798,1.25,0.0502309481111809,0.38683592597664357,0.18527952945749604,1.5473437039065752,0.7411181178299844,40.16809774448579,3.1765019625977216,6,7.642228841419692,-1.5342731211780292,2.2887291522902813,0.27464749827483376,0,42.45682689677607,10.578431533872541,-6.868796812608025
6,human_centric,42424,24,0,1,1,2,8,3.571428571428571,7.142857142857142,0.07142857142857142,1,0,0,0.9285714285714284,0.1374881140329074,0.13551737268985264,1.1785714285714286,0.05202131227888173,0.3982589081796425,0.18512334572836442,1.5930356327185708,0.7404933829134579,43.309389049813646,1.6154521679903127,4.8,8.016030883968526,1.6005787159782132,1.224115861122608,0.14689390333471294,0,44.53350491093625,10.25100729862185,-4.87149280518373
7,human_centric,42424,24,0,0,1,3,5,3.571428571428571,7.142857142857142,0.10714285714285714,1.5,0,0.16666666666666674,0.9404761904761905,0.12711115761442193,0.12630799444209395,0.8928571428571429,0.04094615124266629,0.40917374556169595,0.18509210898253814,1.636694982246784,0.7403684359301526,45.392737750423116,0.7403371991843263,3,8.290935625556148,4.550598426371822,0.6680157248888146,0.08016188698665774,0,46.060753475311934,9.93401959610592,-2.766706027598012
8,human_centric,42424,24,0,0,1,3,6,3.571428571428571,7.142857142857142,0.14285714285714285,2,0,0.25,0.9464285714285714,0.12636251717327807,0.12630799444209395,1,0.04156336400621619,0.4113567130381065,0.18508586163337282,1.6454268521524271,0.7403434465334916,45.39273775042312,0.7403371991843263,3.5999999999999996,8.291495889117533,3.951158689933207,0.6711283002298406,0.08053539602758086,0,46.06386605065296,9.627117381142519,-3.6080858096149964
9,human_centric,42424,24,0,1,0,3,10,0,7.142857142857142,0.14285714285714285,2,0,0.25,0.9464285714285714,0.12631834661922037,0.12630799444209395,1.5357142857142858,0.04684207397393814,0.4117933065333887,0.18508461216353977,1.6471732261335554,0.7403384486541593,45.392737750423116,0.7403371991843263,6,8.291997139761538,1.5516599405772116,0.673913026029872,0.08086956312358463,0,46.06665077645299,9.329962534691916,-6.054199555286566
