scenario,seed,who,task_type,routine_share,base_adaptability,work_row,work_column,adaptability,current_state,time_in_state,total_unemployed_time,total_at_risk_time,times_disrupted,labor_income,transfer_income,last_labor_income,liquid_assets,disposable_income,consumption,peer_boost
human_centric,42424,0,routine-cognitive,0.7845970997319638,0.4884821703057954,2,-2,0.95,employed,200,0,0,0,1.95,0,1.95,3.6214285714285714,5.571428571428571,1.9499999999999997,0
human_centric,42424,1,routine-cognitive,0.8078884379771267,0.4566134179882423,2,1,0.95,employed,173,2,0,0,1.95,0,1.95,3.6214285714285714,5.571428571428571,1.9499999999999997,0.13
human_centric,42424,2,routine-cognitive,0.8341196570604912,0.37099481330430784,0,0,0.95,in-training,1,16,2,1,0,1.17,1.95,3.1144285714285718,4.791428571428572,1.677,0.05
human_centric,42424,3,routine-cognitive,0.7989835520782672,0.20318581264095809,2,-1,0.95,employed,200,0,0,0,1.95,0,1.95,3.6214285714285714,5.571428571428571,1.9499999999999997,0.13
human_centric,42424,4,routine-cognitive,0.7631169970420868,0.37454309628405774,-1,3,0.95,employed,200,0,0,0,1.95,0,1.95,3.6214285714285714,5.571428571428571,1.9499999999999997,0
human_centric,42424,5,routine-cognitive,0.7692682383627679,0.45962225330339646,1,0,0.95,employed,200,0,0,0,1.95,0,1.95,3.6214285714285714,5.571428571428571,1.9499999999999997,0.23000000000000004
human_centric,42424,6,routine-cognitive,0.8494318648592698,0.4585249480099774,2,0,0.95,re-employed,1,10,1,2,1.8524999999999998,0,1.8524999999999998,2.716755234728369,4.179623438043645,1.4628682033152758,0.05
human_centric,42424,7,routine-cognitive,0.8282704517533876,0.43421953498844135,2,2,0.95,employed,168,2,0,0,1.95,0,1.95,3.6214285714285714,5.571428571428571,1.9499999999999997,0
human_centric,42424,8,routine-manual,0.727537331067919,0.5899805689447826,1,3,0.95,employed,200,0,0,0,1.755,0,1.755,3.2592857142857143,5.014285714285714,1.755,0
human_centric,42424,9,routine-manual,0.7505779636578622,0.5328073339814775,1,2,0.95,employed,200,0,0,0,1.755,0,1.755,3.2592857142857143,5.014285714285714,1.755,0.05
human_centric,42424,10,routine-manual,0.7912793124950266,0.5162973325289496,-1,0,0.95,employed,200,0,0,0,1.755,0,1.755,3.2592857142857143,5.014285714285714,1.755,0.05
human_centric,42424,11,routine-manual,0.7151154802501394,0.5495240329388567,2,3,0.95,employed,200,0,0,0,1.755,0,1.755,3.2592857142857143,5.014285714285714,1.755,0
human_centric,42424,12,routine-manual,0.7866156240418128,0.41079575732278967,0,-3,0.95,employed,200,0,0,0,1.755,0,1.755,3.259285714285711,5.014285714285709,1.754999999999998,0
human_centric,42424,13,routine-manual,0.7297794105481014,0.46492052054584637,2,-3,0.95,employed,200,0,0,0,1.755,0,1.755,3.2592857142857143,5.014285714285714,1.755,0
human_centric,42424,14,routine-manual,0.7286600684241825,0.46437404367068835,0,1,0.95,employed,200,0,0,0,1.755,0,1.755,3.2592857142857143,5.014285714285714,1.755,0.1
human_centric,42424,15,creative-analytical,0.22649424162282478,0.6926386641097243,-1,1,0.95,employed,200,0,0,0,2.535,0,2.535,4.707857142857142,7.242857142857142,2.5349999999999997,0
human_centric,42424,16,creative-analytical,0.33087631143355856,0.7973162896247621,0,-1,0.95,employed,200,0,0,0,2.535,0,2.535,4.707857142857142,7.242857142857142,2.5349999999999997,0.1
human_centric,42424,17,creative-analytical,0.17496229368243793,0.6770668885449649,1,-2,0.95,employed,200,0,0,0,2.535,0,2.535,4.707857142857142,7.242857142857142,2.5349999999999997,0.05
human_centric,42424,18,creative-analytical,0.22324224138963109,0.7998991354535072,0,3,0.95,employed,200,0,0,0,2.535,0,2.535,4.707857142857142,7.242857142857142,2.5349999999999997,0
human_centric,42424,19,creative-analytical,0.3108733670606598,0.5542062323463549,0,-2,0.95,employed,200,0,0,0,2.535,0,2.535,4.707857142857142,7.242857142857142,2.5349999999999997,0
human_centric,42424,20,creative-analytical,0.18507195081496958,0.5277473554484765,1,1,0.95,employed,200,0,0,0,2.535,0,2.535,4.707857142857142,7.242857142857142,2.5349999999999997,0.05
human_centric,42424,21,hybrid,0.5291063668175529,0.46228882910092584,-1,-2,0.95,employed,200,0,0,0,2.145,0,2.145,3.9835714285714285,6.128571428571428,2.1449999999999996,0
human_centric,42424,22,hybrid,0.43192420569654283,0.5291175420200491,-1,2,0.95,employed,200,0,0,0,2.145,0,2.145,3.9835714285714285,6.128571428571428,2.1449999999999996,0
human_centric,42424,23,hybrid,0.5262333489038926,0.6199508620276755,1,-3,0.95,employed,200,0,0,0,2.145,0,2.145,3.9835714285714285,6.128571428571428,2.1449999999999996,0
human_centric,42424,24,hybrid,0.40889147990401203,0.571559903630926,1,-1,0.95,employed,200,0,0,0,2.145,0,2.145,3.9835714285714285,6.128571428571428,2.1449999999999996,0.05
human_centric,42424,25,hybrid,0.5053336620248592,0.5166997714011238,0,2,0.95,employed,200,0,0,0,2.145,0,2.145,3.9835714285714285,6.128571428571428,2.1449999999999996,0
human_centric,42424,26,hybrid,0.5857266679390591,0.6867735113617246,-1,-1,0.95,employed,200,0,0,0,2.145,0,2.145,3.9835714285714285,6.128571428571428,2.1449999999999996,0
human_centric,42424,27,hybrid,0.591418804483123,0.4344258039352165,-1,-3,0.95,employed,200,0,0,0,2.145,0,2.145,3.9835714285714285,6.128571428571428,2.1449999999999996,0
