tick,scenario,seed,employed,at_risk,in_training,unemployed,re_employed,seats_in_use,unemployment_rate,ever_unemployed_share,avg_unemployment_time,avg_unemployment_time_exposed,avg_at_risk_time,unemployment_burden_gini_exposed,unemployment_duration_gini,consumption_gini,income_gini,avg_supportive_coworkers,recovery_cluster_share,avg_liquid_assets,min_liquid_assets,avg_consumption,min_consumption,labor_income_total,transfer_income_total,training_outlays,tax_revenue,government_balance,automation_output,desired_private_investment,private_investment,total_output,capital_stock,goods_market_gap
0,tech_driven,-486546894,24,3,0,1,0,0,3.571428571428571,0,0,0,0,0,0,0.12103831910619456,0.13281772400888525,0,0,3.0972070767136133,2.067862930922396,1.6677268874611766,1.1134646551120593,43.13376780118744,0.734152519854105,0,8.051697581727334,7.317545061873229,1.5978854306310863,0.2876193775135955,0,44.73165323181853,12,-1.9646996170944035
1,tech_driven,-486546894,24,3,0,1,0,1,3.571428571428571,3.571428571428571,0.03571428571428571,1,0.10714285714285714,0,0.9642857142857142,0.12485728533644846,0.13281772400888525,0.10714285714285714,0,3.031547035888028,1.8213100430047255,1.6323714808627838,0.9807054077717753,43.13376780118744,0.734152519854105,0.6,8.0575464059867,6.723393886132596,1.6303788987386785,0.2934682017729621,0,44.764146699926116,12,-1.5422547642318265
2,tech_driven,-486546894,24,2,1,1,0,3,3.571428571428571,3.571428571428571,0.07142857142857142,2,0.17857142857142858,0,0.9642857142857142,0.13124371245470878,0.14403964771247302,0.25,0,2.9778859199479393,1.66105066585824,1.6034770338181208,0.8944118970005906,41.951081250045895,1.4437644505390281,1.7999999999999998,8.051493054228436,4.807728603689408,2.7794357178898577,0.5002984292201743,0,44.730516967935756,11.64,-1.9668399789716302
3,tech_driven,-486546894,24,0,3,1,0,5,3.571428571428571,3.571428571428571,0.10714285714285714,3,0.17857142857142858,0,0.9642857142857142,0.14217132885747796,0.16618006374233496,0.4642857142857143,0,2.9190754836854143,1.5568820707130242,1.5718098758306078,0.8383211149993207,39.37392776834942,2.9900565395569183,3,7.9985352005796395,2.008478661022721,5.062378901537468,0.9112282022767442,0,44.43630666988689,11.2908,-2.5743698533701362
4,tech_driven,-486546894,24,0,3,1,0,5,3.571428571428571,3.571428571428571,0.14285714285714285,4,0.17857142857142858,0,0.9642857142857142,0.15035318487518046,0.16618006374233496,0.4642857142857143,0,2.8808487001147745,1.489172483868634,1.551226223138724,0.8018621066984952,39.373927768349425,2.9900565395569183,3,8.005239404262815,2.0151828647058965,5.0996244775551025,0.9179324059599184,0,44.47355224590453,10.952076,-1.9607820019797444
5,tech_driven,-486546894,24,0,3,1,0,5,3.571428571428571,3.571428571428571,0.17857142857142858,5,0.17857142857142858,0,0.9642857142857142,0.15578884276617933,0.16618006374233496,0.4642857142857143,0,2.856001290793857,1.4451612524197803,1.537846848889,0.7781637513029586,39.37392776834941,2.9900565395569183,3,8.011403799964377,2.0213472604074587,5.133871120341577,0.9240968016614838,0,44.507798888690985,10.62351372,-1.5519128802010087
6,tech_driven,-486546894,24,0,3,0,1,5,0,3.571428571428571,0.17857142857142858,5,0.17857142857142858,0,0.9642857142857142,0.15614767177147693,0.15788872245973695,0.5714285714285714,0,2.84868944487019,1.440956619203165,1.5339097010839489,0.7758997180324734,40.48883592478508,2.2559040197028133,3,7.9944763159830154,2.7385722962802017,3.924921386231677,0.7064858495217019,0,44.41375731101675,10.3048083084,-1.535714319333806
7,tech_driven,-486546894,24,0,3,0,1,5,0,3.571428571428571,0.17857142857142858,5,0.17857142857142858,0,0.9642857142857142,0.15675514827854098,0.15788872245973695,0.5714285714285714,0,2.843936745019807,1.3978695574272573,1.5313505550106647,0.7526989924608308,40.48883592478508,2.2559040197028133,3,7.998383970213564,2.7424799505107504,3.946630576401392,0.7103935037522505,0,44.43546650118647,9.995664059148,-1.4423490391121447
8,tech_driven,-486546894,24,0,3,0,1,4,0,3.571428571428571,0.17857142857142858,5,0.17857142857142858,0,0.9642857142857142,0.15693168319911655,0.15732018694618577,0.4642857142857143,0,2.8429367758313435,1.3698629672729172,1.5308121100630305,0.737618520839263,40.578835924785075,2.2559040197028133,2.4,8.018124385856481,3.3622203661536685,3.966299552195372,0.7139339193951669,0,44.54513547698045,9.695794137373559,-0.7176036047844092
9,tech_driven,-486546894,24,0,3,0,1,4,0,3.571428571428571,0.17857142857142858,5,0.17857142857142858,0,0.9642857142857142,0.15754025985102404,0.1587235354284684,0.5,0,2.845304653001699,1.3516586836725963,1.5320871208470686,0.7278162142852441,40.708835924785085,2.2559040197028133,2.4,8.044710986645168,3.388806966942355,3.984002889910292,0.7171205201838525,0,44.69283881469538,9.404920313252353,-0.6056005690225574
