tick,scenario,seed,employed,at_risk,in_training,unemployed,re_employed,seats_in_use,unemployment_rate,ever_unemployed_share,avg_unemployment_time,avg_unemployment_time_exposed,avg_at_risk_time,unemployment_burden_gini_exposed,unemployment_duration_gini,consumption_gini,income_gini,avg_supportive_coworkers,peer_boost_sd,avg_liquid_assets,min_liquid_assets,avg_consumption,min_consumption,labor_income_total,transfer_income_total,training_outlays,tax_revenue,government_balance,automation_output,desired_private_investment,private_investment,total_output,capital_stock,goods_market_gap
0,tech_driven,-601365198,24,3,0,1,0,0,3.571428571428571,0,0,0,0,0,0,0.11006457630794397,0.1236948008373957,0,0,0.9518378637184873,0.7076225268722989,3.80735145487395,2.8304901074891973,42.97489431472142,0.8164875310064991,0,8.022484835275343,7.205997304268844,1.594465881252707,0.2870038586254873,0,44.56936019597413,12,-62.036480540496484
1,tech_driven,-601365198,24,2,1,1,0,3,3.571428571428571,3.571428571428571,0.03571428571428571,1,0.07142857142857142,0,0.9642857142857142,0.12496322477004251,0.13432332030951466,0.35714285714285715,0.024397501823713332,0.5000024401506948,0.27533358766557403,2.0000097606027802,1.1013343506622966,41.8686432928508,1.4802381441288652,1.7999999999999998,8.018467058040782,4.738228913911917,2.678395918486885,0.48211126532763926,0,44.54703921133768,12,-13.253234085540168
2,tech_driven,-601365198,24,1,2,1,0,5,3.571428571428571,3.571428571428571,0.07142857142857142,2,0.10714285714285714,0,0.9642857142857142,0.139738717800034,0.14468662576902513,0.6428571428571429,0.0339233496399405,0.4063846507162439,0.18781684015758804,1.6255386028649759,0.7512673606303523,40.73089664053841,2.1628861355163007,3,8.020949676815128,2.8580635412988276,3.8299348973234184,0.6893882815182153,0,44.56083153786183,11.5968,-3.9542493423574925
3,tech_driven,-601365198,24,1,2,1,0,5,3.571428571428571,3.571428571428571,0.10714285714285714,3,0.14285714285714285,0,0.9642857142857142,0.14364924859140937,0.14468662576902513,0.6428571428571429,0.0339233496399405,0.38766109282935374,0.17031349065599077,1.5506443713174147,0.6812539626239635,40.73089664053841,2.1628861355163007,3,8.025616093876119,2.862729958359818,3.855859436551141,0.6940546985792054,0,44.586756077089554,11.208550268928,-1.8312863197980747
4,tech_driven,-601365198,24,1,2,1,0,5,3.571428571428571,3.571428571428571,0.14285714285714285,4,0.17857142857142858,0,0.9642857142857142,0.14447712662286216,0.14468662576902513,0.6428571428571429,0.0339233496399405,0.38391638125197564,0.1668128207556714,1.535665525007903,0.6672512830226857,40.73089664053841,2.1628861355163007,3,8.029873233757403,2.8669870982411023,3.8795102136693855,0.6983118384604894,0,44.610406854207795,10.834604281120836,-1.3882278460134856
5,tech_driven,-601365198,24,1,2,1,0,5,3.571428571428571,3.571428571428571,0.17857142857142858,5,0.21428571428571427,0,0.9642857142857142,0.14464464404203214,0.14468662576902513,0.6428571428571429,0.0339233496399405,0.3831674389365002,0.16611268677560753,1.532669755746001,0.6644507471024301,40.73089664053841,2.1628861355163007,3,8.033737370383879,2.870851234867578,3.9009776393720323,0.7021759750869658,0,44.63187427991044,10.474349557708667,-1.2828788809775844
6,tech_driven,-601365198,24,1,2,1,0,5,3.571428571428571,3.571428571428571,0.21428571428571427,6,0.25,0,0.9642857142857142,0.14467822614002945,0.14468662576902513,0.6428571428571429,0.0339233496399405,0.3830176504734051,0.16597265997959476,1.53207060189362,0.663890639918379,40.73089664053842,2.1628861355163007,3,8.037224145348512,2.8743380098322113,3.9203486113977632,0.7056627500515974,0,44.65124525193618,10.127205471380286,-1.2467316010851803
7,tech_driven,-601365198,24,1,2,1,0,5,3.571428571428571,3.571428571428571,0.25,7,0.2857142857142857,0,0.9642857142857142,0.14468494571182045,0.14468662576902513,0.6428571428571429,0.0339233496399405,0.382987692780786,0.1659446546203922,1.531950771123144,0.6637786184815688,40.73089664053841,2.1628861355163007,3,8.040348596511809,2.877462460995508,3.9377066734160833,0.7087872012148949,0,44.66860331395449,9.792621220041012,-1.2260182774935586
8,tech_driven,-601365198,24,1,2,1,0,3,3.571428571428571,3.571428571428571,0.2857142857142857,8,0.32142857142857145,0,0.9642857142857142,0.14646261798685933,0.1469046744035436,0.39285714285714285,0.028347335475692043,0.3846245583851193,0.16593905354855165,1.538498233540478,0.6637562141942068,40.96089664053841,2.1628861355163007,1.7999999999999998,8.084525184977508,4.121639049461208,3.953132164892196,0.7115637896805953,0.03607826629723565,44.914028805430604,9.470073954332022,0
9,tech_driven,-601365198,24,0,2,2,0,3,7.142857142857142,7.142857142857142,0.35714285714285715,5,0.32142857142857145,0.3999999999999999,0.9571428571428571,0.15505447184552335,0.15734005799747663,0.32142857142857145,0.022852182001336815,0.38186257046284744,0.1659379333341835,1.5274502818513895,0.6637517333367344,39.7296202754399,2.9616519545754034,1.7999999999999998,8.05719251100232,3.295540556426917,5.032560341239658,0.9058608614231384,0.1935727248406396,44.76218061667956,9.195145311789144,0
