tick,scenario,seed,employed,at_risk,in_training,unemployed,re_employed,seats_in_use,unemployment_rate,ever_unemployed_share,avg_unemployment_time,avg_unemployment_time_exposed,avg_at_risk_time,unemployment_burden_gini_exposed,unemployment_duration_gini,consumption_gini,income_gini,avg_supportive_coworkers,recovery_cluster_share,avg_liquid_assets,min_liquid_assets,avg_consumption,min_consumption,labor_income_total,transfer_income_total,training_outlays,tax_revenue,government_balance,automation_output,desired_private_investment,private_investment,total_output,capital_stock,goods_market_gap
0,tech_driven,42424,24,3,0,1,0,0,3.571428571428571,0,0,0,0,0,0,0.11350559119161452,0.12709266929048524,0,0,3.158437253690137,2.3462123346498682,1.7006969827562273,1.2633451032730059,43.80374273413868,0.8751149688059864,0,8.148408012933768,7.273293044127781,1.4651906710489249,0.2637343207888065,0,45.2689334051876,12,-2.3505821119867605
1,tech_driven,42424,24,2,1,1,0,4,3.571428571428571,3.571428571428571,0.03571428571428571,1,0.07142857142857142,0,0.9642857142857142,0.12097718309459093,0.13895058375475378,0.4642857142857143,0,3.077998856580902,2.1710143851128514,1.6573839996974091,1.1690077458299968,42.492790657949264,1.6616862145196372,2.4,8.096247381805457,4.034561167285819,2.486361463192162,0.44754506337458916,0,44.979152121141425,12,-3.8275998703860252
2,tech_driven,42424,24,2,1,1,0,5,3.571428571428571,3.571428571428571,0.07142857142857142,2,0.14285714285714285,0,0.9642857142857142,0.12696782370678084,0.13895058375475378,0.5714285714285714,0,3.0257138984599004,1.9799840800472448,1.629230560709177,1.066145273871593,42.49279065794927,1.6616862145196372,3,8.100165224430127,3.4384790099104894,2.508127255551432,0.45146290599925776,0,45.0009179135007,11.64,-3.6175377863562588
3,tech_driven,42424,24,2,1,1,0,5,3.571428571428571,3.571428571428571,0.10714285714285714,3,0.21428571428571427,0,0.9642857142857142,0.1310264405706556,0.13895058375475378,0.5714285714285714,0,2.9917286756812493,1.8136521263218164,1.610930825366826,0.9765819141732858,42.49279065794927,1.6616862145196372,3,8.103793096130556,3.4421068816109184,2.5282820983315957,0.4550907776996872,0,45.021072756280866,11.2908,-3.0849903539902783
4,tech_driven,42424,24,2,1,1,0,5,3.571428571428571,3.571428571428571,0.14285714285714285,4,0.2857142857142857,0,0.9642857142857142,0.13376151440843076,0.13895058375475378,0.5714285714285714,0,2.9696382808751265,1.6901451918230537,1.5990359973942982,0.9100781802124134,42.49279065794927,1.6616862145196372,3,8.107141347710577,3.44545513319094,2.5468834959983795,0.4584390292797083,0,45.03967415394765,10.952076,-2.73333377309271
5,tech_driven,42424,24,2,1,1,0,5,3.571428571428571,3.571428571428571,0.17857142857142858,5,0.35714285714285715,0,0.9642857142857142,0.1355613008628216,0.13895058375475378,0.5714285714285714,0,2.955279524251146,1.609865684398858,1.5913043592121554,0.8668507531378464,42.492790657949264,1.6616862145196372,3,8.110220005314527,3.4485337907948903,2.563987149353663,0.4615176868836593,0,45.05677780730293,10.62351372,-2.499744250637427
6,tech_driven,42424,24,2,1,1,0,5,3.571428571428571,3.571428571428571,0.21428571428571427,6,0.42857142857142855,0,0.9642857142857142,0.1367405703392448,0.13895058375475378,0.5714285714285714,0,2.9459463324455584,1.5576840045731308,1.586278794393762,0.8387529255393781,42.49279065794927,1.6616862145196372,3,8.11303878023753,3.451352565717892,2.5796470100370055,0.464336461806661,0,45.07243766798628,10.3048083084,-2.343368575039065
7,tech_driven,42424,24,2,1,1,0,5,3.571428571428571,3.571428571428571,0.25,7,0.5,0,0.9642857142857142,0.13751111073404232,0.13895058375475378,0.5714285714285714,0,2.9398797577719273,1.523765912686408,1.5830121772618069,0.8204893376003735,42.49279065794926,1.6616862145196372,3,8.1156070784428,3.4539208639231624,2.5939153333996283,0.4669047600119331,0,45.086705991348886,9.995664059148,-2.2376349719816986
8,tech_driven,42424,24,2,1,1,0,2,3.571428571428571,3.571428571428571,0.2857142857142857,8,0.5714285714285714,0,0.9642857142857142,0.1387687108472535,0.14132065590007326,0.21428571428571427,0,2.943829341376923,1.5017191529600384,1.5851388761260357,0.8086180054400206,42.83279065794926,1.6616862145196372,1.2,8.179134009794744,5.317447795275107,2.606842729799317,0.469231691363877,0,45.43963338774858,9.695794137373559,-0.14425514378041693
9,tech_driven,42424,24,2,0,2,0,3,7.142857142857142,7.142857142857142,0.35714285714285715,5,0.6428571428571429,0.3999999999999999,0.9571428571428571,0.13886743268798685,0.13934619522075686,0.32142857142857145,0,2.9487179992916,1.487388759137898,1.5877712303877847,0.8009016395357912,42.93279065794926,1.6616862145196372,1.7999999999999998,8.199228397016244,4.737542182496607,2.618478214363204,0.47132607858537673,0,45.55126887231246,9.404920313252353,-0.7063255785454983
