"export-plots data (NetLogo 7.0.3)"
"model.nlogo"
"03/23/2026 02:08:46:745 -0400"

"MODEL SETTINGS"
"initial-at-risk-pct","initial-unemployment-pct","scenario-choice"
"10","5","""Tech-Driven"""

"""\""Unemployment Rate\"""""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","200","0","100","true","""Unemployed""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""Unemployed""","true","0","1","100.2","200"
"""At-Risk""","true","0","1","100.8","200"

"""Unemployed""",,,,"""At-Risk"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","3.571428571428571","100.2","true","0","10.714285714285714","100.8","true"
"1","3.571428571428571","100.2","true","1","0","100.8","true"
"2","3.571428571428571","100.2","true","2","0","100.8","true"
"3","3.571428571428571","100.2","true","3","0","100.8","true"
"4","3.571428571428571","100.2","true","4","0","100.8","true"
"5","3.571428571428571","100.2","true","5","0","100.8","true"
"6","3.571428571428571","100.2","true","6","0","100.8","true"
"7","3.571428571428571","100.2","true","7","0","100.8","true"
"8","3.571428571428571","100.2","true","8","0","100.8","true"
"9","14.285714285714285","100.2","true","9","0","100.8","true"
"10","10.714285714285714","100.2","true","10","0","100.8","true"
"11","10.714285714285714","100.2","true","11","0","100.8","true"
"12","10.714285714285714","100.2","true","12","0","100.8","true"
"13","10.714285714285714","100.2","true","13","0","100.8","true"
"14","10.714285714285714","100.2","true","14","0","100.8","true"
"15","10.714285714285714","100.2","true","15","0","100.8","true"
"16","10.714285714285714","100.2","true","16","0","100.8","true"
"17","10.714285714285714","100.2","true","17","0","100.8","true"
"18","14.285714285714285","100.2","true","18","0","100.8","true"
"19","14.285714285714285","100.2","true","19","0","100.8","true"
"20","14.285714285714285","100.2","true","20","0","100.8","true"
"21","14.285714285714285","100.2","true","21","0","100.8","true"
"22","14.285714285714285","100.2","true","22","0","100.8","true"
"23","14.285714285714285","100.2","true","23","0","100.8","true"
"24","14.285714285714285","100.2","true","24","0","100.8","true"
"25","14.285714285714285","100.2","true","25","0","100.8","true"
"26","14.285714285714285","100.2","true","26","0","100.8","true"
"27","14.285714285714285","100.2","true","27","0","100.8","true"
"28","14.285714285714285","100.2","true","28","0","100.8","true"
"29","14.285714285714285","100.2","true","29","0","100.8","true"
"30","14.285714285714285","100.2","true","30","0","100.8","true"
"31","14.285714285714285","100.2","true","31","0","100.8","true"
"32","14.285714285714285","100.2","true","32","0","100.8","true"
"33","14.285714285714285","100.2","true","33","0","100.8","true"
"34","14.285714285714285","100.2","true","34","0","100.8","true"
"35","14.285714285714285","100.2","true","35","0","100.8","true"
"36","10.714285714285714","100.2","true","36","0","100.8","true"
"37","10.714285714285714","100.2","true","37","0","100.8","true"
"38","7.142857142857142","100.2","true","38","0","100.8","true"
"39","7.142857142857142","100.2","true","39","3.571428571428571","100.8","true"
"40","7.142857142857142","100.2","true","40","7.142857142857142","100.8","true"
"41","7.142857142857142","100.2","true","41","7.142857142857142","100.8","true"
"42","7.142857142857142","100.2","true","42","7.142857142857142","100.8","true"
"43","7.142857142857142","100.2","true","43","3.571428571428571","100.8","true"
"44","7.142857142857142","100.2","true","44","3.571428571428571","100.8","true"
"45","7.142857142857142","100.2","true","45","0","100.8","true"
"46","7.142857142857142","100.2","true","46","3.571428571428571","100.8","true"
"47","7.142857142857142","100.2","true","47","3.571428571428571","100.8","true"
"48","7.142857142857142","100.2","true","48","3.571428571428571","100.8","true"
"49","3.571428571428571","100.2","true","49","7.142857142857142","100.8","true"
"50","3.571428571428571","100.2","true","50","3.571428571428571","100.8","true"
"51","0","100.2","true","51","0","100.8","true"
"52","0","100.2","true","52","3.571428571428571","100.8","true"
"53","0","100.2","true","53","3.571428571428571","100.8","true"
"54","0","100.2","true","54","3.571428571428571","100.8","true"
"55","0","100.2","true","55","7.142857142857142","100.8","true"
"56","0","100.2","true","56","14.285714285714285","100.8","true"
"57","0","100.2","true","57","14.285714285714285","100.8","true"
"58","3.571428571428571","100.2","true","58","14.285714285714285","100.8","true"
"59","7.142857142857142","100.2","true","59","10.714285714285714","100.8","true"
"60","7.142857142857142","100.2","true","60","10.714285714285714","100.8","true"
"61","7.142857142857142","100.2","true","61","10.714285714285714","100.8","true"
"62","7.142857142857142","100.2","true","62","10.714285714285714","100.8","true"
"63","3.571428571428571","100.2","true","63","7.142857142857142","100.8","true"
"64","3.571428571428571","100.2","true","64","7.142857142857142","100.8","true"
"65","7.142857142857142","100.2","true","65","10.714285714285714","100.8","true"
"66","10.714285714285714","100.2","true","66","10.714285714285714","100.8","true"
"67","7.142857142857142","100.2","true","67","14.285714285714285","100.8","true"
"68","10.714285714285714","100.2","true","68","10.714285714285714","100.8","true"
"69","10.714285714285714","100.2","true","69","14.285714285714285","100.8","true"
"70","10.714285714285714","100.2","true","70","10.714285714285714","100.8","true"
"71","14.285714285714285","100.2","true","71","10.714285714285714","100.8","true"
"72","14.285714285714285","100.2","true","72","7.142857142857142","100.8","true"
"73","14.285714285714285","100.2","true","73","7.142857142857142","100.8","true"
"74","14.285714285714285","100.2","true","74","7.142857142857142","100.8","true"
"75","10.714285714285714","100.2","true","75","10.714285714285714","100.8","true"
"76","10.714285714285714","100.2","true","76","7.142857142857142","100.8","true"
"77","10.714285714285714","100.2","true","77","3.571428571428571","100.8","true"
"78","10.714285714285714","100.2","true","78","7.142857142857142","100.8","true"
"79","10.714285714285714","100.2","true","79","10.714285714285714","100.8","true"
"80","10.714285714285714","100.2","true","80","10.714285714285714","100.8","true"
"81","10.714285714285714","100.2","true","81","10.714285714285714","100.8","true"
"82","10.714285714285714","100.2","true","82","10.714285714285714","100.8","true"
"83","14.285714285714285","100.2","true","83","14.285714285714285","100.8","true"
"84","10.714285714285714","100.2","true","84","10.714285714285714","100.8","true"
"85","14.285714285714285","100.2","true","85","10.714285714285714","100.8","true"
"86","14.285714285714285","100.2","true","86","7.142857142857142","100.8","true"
"87","10.714285714285714","100.2","true","87","7.142857142857142","100.8","true"
"88","7.142857142857142","100.2","true","88","7.142857142857142","100.8","true"
"89","7.142857142857142","100.2","true","89","3.571428571428571","100.8","true"
"90","7.142857142857142","100.2","true","90","0","100.8","true"
"91","7.142857142857142","100.2","true","91","3.571428571428571","100.8","true"
"92","3.571428571428571","100.2","true","92","7.142857142857142","100.8","true"
"93","3.571428571428571","100.2","true","93","7.142857142857142","100.8","true"
"94","10.714285714285714","100.2","true","94","7.142857142857142","100.8","true"
"95","7.142857142857142","100.2","true","95","0","100.8","true"
"96","10.714285714285714","100.2","true","96","0","100.8","true"
"97","10.714285714285714","100.2","true","97","0","100.8","true"
"98","10.714285714285714","100.2","true","98","0","100.8","true"
"99","10.714285714285714","100.2","true","99","0","100.8","true"
"100","7.142857142857142","100.2","true","100","3.571428571428571","100.8","true"
"101","7.142857142857142","100.2","true","101","3.571428571428571","100.8","true"
"102","7.142857142857142","100.2","true","102","0","100.8","true"
"103","3.571428571428571","100.2","true","103","3.571428571428571","100.8","true"
"104","0","100.2","true","104","3.571428571428571","100.8","true"
"105","0","100.2","true","105","3.571428571428571","100.8","true"
"106","0","100.2","true","106","7.142857142857142","100.8","true"
"107","0","100.2","true","107","7.142857142857142","100.8","true"
"108","0","100.2","true","108","14.285714285714285","100.8","true"
"109","0","100.2","true","109","14.285714285714285","100.8","true"
"110","0","100.2","true","110","14.285714285714285","100.8","true"
"111","0","100.2","true","111","14.285714285714285","100.8","true"
"112","3.571428571428571","100.2","true","112","10.714285714285714","100.8","true"
"113","7.142857142857142","100.2","true","113","7.142857142857142","100.8","true"
"114","7.142857142857142","100.2","true","114","3.571428571428571","100.8","true"
"115","7.142857142857142","100.2","true","115","3.571428571428571","100.8","true"
"116","10.714285714285714","100.2","true","116","3.571428571428571","100.8","true"
"117","7.142857142857142","100.2","true","117","7.142857142857142","100.8","true"
"118","7.142857142857142","100.2","true","118","7.142857142857142","100.8","true"
"119","3.571428571428571","100.2","true","119","14.285714285714285","100.8","true"
"120","7.142857142857142","100.2","true","120","17.857142857142858","100.8","true"
"121","10.714285714285714","100.2","true","121","14.285714285714285","100.8","true"
"122","10.714285714285714","100.2","true","122","10.714285714285714","100.8","true"
"123","10.714285714285714","100.2","true","123","7.142857142857142","100.8","true"
"124","7.142857142857142","100.2","true","124","7.142857142857142","100.8","true"
"125","7.142857142857142","100.2","true","125","7.142857142857142","100.8","true"
"126","7.142857142857142","100.2","true","126","10.714285714285714","100.8","true"
"127","14.285714285714285","100.2","true","127","10.714285714285714","100.8","true"
"128","10.714285714285714","100.2","true","128","7.142857142857142","100.8","true"
"129","7.142857142857142","100.2","true","129","7.142857142857142","100.8","true"
"130","7.142857142857142","100.2","true","130","7.142857142857142","100.8","true"
"131","3.571428571428571","100.2","true","131","3.571428571428571","100.8","true"
"132","0","100.2","true","132","0","100.8","true"
"133","0","100.2","true","133","3.571428571428571","100.8","true"
"134","0","100.2","true","134","3.571428571428571","100.8","true"
"135","0","100.2","true","135","7.142857142857142","100.8","true"
"136","0","100.2","true","136","7.142857142857142","100.8","true"
"137","0","100.2","true","137","3.571428571428571","100.8","true"
"138","0","100.2","true","138","7.142857142857142","100.8","true"
"139","0","100.2","true","139","7.142857142857142","100.8","true"
"140","3.571428571428571","100.2","true","140","7.142857142857142","100.8","true"
"141","3.571428571428571","100.2","true","141","3.571428571428571","100.8","true"
"142","3.571428571428571","100.2","true","142","3.571428571428571","100.8","true"
"143","3.571428571428571","100.2","true","143","3.571428571428571","100.8","true"
"144","7.142857142857142","100.2","true","144","3.571428571428571","100.8","true"
"145","10.714285714285714","100.2","true","145","7.142857142857142","100.8","true"
"146","10.714285714285714","100.2","true","146","3.571428571428571","100.8","true"
"147","10.714285714285714","100.2","true","147","10.714285714285714","100.8","true"
"148","10.714285714285714","100.2","true","148","14.285714285714285","100.8","true"
"149","10.714285714285714","100.2","true","149","7.142857142857142","100.8","true"
"150","10.714285714285714","100.2","true","150","7.142857142857142","100.8","true"
"151","10.714285714285714","100.2","true","151","7.142857142857142","100.8","true"
"152","10.714285714285714","100.2","true","152","10.714285714285714","100.8","true"
"153","7.142857142857142","100.2","true","153","10.714285714285714","100.8","true"
"154","7.142857142857142","100.2","true","154","10.714285714285714","100.8","true"
"155","10.714285714285714","100.2","true","155","3.571428571428571","100.8","true"
"156","10.714285714285714","100.2","true","156","7.142857142857142","100.8","true"
"157","10.714285714285714","100.2","true","157","7.142857142857142","100.8","true"
"158","7.142857142857142","100.2","true","158","3.571428571428571","100.8","true"
"159","7.142857142857142","100.2","true","159","3.571428571428571","100.8","true"
"160","7.142857142857142","100.2","true","160","3.571428571428571","100.8","true"
"161","7.142857142857142","100.2","true","161","7.142857142857142","100.8","true"
"162","7.142857142857142","100.2","true","162","7.142857142857142","100.8","true"
"163","10.714285714285714","100.2","true","163","7.142857142857142","100.8","true"
"164","10.714285714285714","100.2","true","164","3.571428571428571","100.8","true"
"165","10.714285714285714","100.2","true","165","7.142857142857142","100.8","true"
"166","10.714285714285714","100.2","true","166","3.571428571428571","100.8","true"
"167","7.142857142857142","100.2","true","167","0","100.8","true"
"168","7.142857142857142","100.2","true","168","0","100.8","true"
"169","7.142857142857142","100.2","true","169","7.142857142857142","100.8","true"
"170","7.142857142857142","100.2","true","170","14.285714285714285","100.8","true"
"171","7.142857142857142","100.2","true","171","14.285714285714285","100.8","true"
"172","10.714285714285714","100.2","true","172","14.285714285714285","100.8","true"
"173","7.142857142857142","100.2","true","173","14.285714285714285","100.8","true"
"174","3.571428571428571","100.2","true","174","17.857142857142858","100.8","true"
"175","3.571428571428571","100.2","true","175","14.285714285714285","100.8","true"
"176","3.571428571428571","100.2","true","176","10.714285714285714","100.8","true"
"177","3.571428571428571","100.2","true","177","10.714285714285714","100.8","true"
"178","3.571428571428571","100.2","true","178","10.714285714285714","100.8","true"
"179","3.571428571428571","100.2","true","179","14.285714285714285","100.8","true"
"180","10.714285714285714","100.2","true","180","7.142857142857142","100.8","true"
"181","10.714285714285714","100.2","true","181","7.142857142857142","100.8","true"
"182","10.714285714285714","100.2","true","182","7.142857142857142","100.8","true"
"183","10.714285714285714","100.2","true","183","10.714285714285714","100.8","true"
"184","7.142857142857142","100.2","true","184","7.142857142857142","100.8","true"
"185","10.714285714285714","100.2","true","185","3.571428571428571","100.8","true"
"186","10.714285714285714","100.2","true","186","3.571428571428571","100.8","true"
"187","10.714285714285714","100.2","true","187","3.571428571428571","100.8","true"
"188","10.714285714285714","100.2","true","188","7.142857142857142","100.8","true"
"189","10.714285714285714","100.2","true","189","10.714285714285714","100.8","true"
"190","10.714285714285714","100.2","true","190","14.285714285714285","100.8","true"
"191","10.714285714285714","100.2","true","191","10.714285714285714","100.8","true"
