tick,scenario,seed,employed,at_risk,in_training,unemployed,re_employed,seats_in_use,unemployment_rate,ever_unemployed_share,avg_unemployment_time,avg_unemployment_time_exposed,avg_at_risk_time,unemployment_burden_gini_exposed,unemployment_duration_gini,consumption_gini,income_gini,avg_supportive_coworkers,peer_boost_sd,avg_liquid_assets,min_liquid_assets,avg_consumption,min_consumption,labor_income_total,transfer_income_total,training_outlays,tax_revenue,government_balance,automation_output,desired_private_investment,private_investment,total_output,capital_stock,goods_market_gap
0,tech_driven,624267905,24,3,0,1,0,0,3.571428571428571,0,0,0,0,0,0,0.12030085302692561,0.1330949853399872,0,0,0.957558496437635,0.7080133078126867,3.8302339857505414,2.8320532312507467,43.18729042499575,0.8408926430893016,0,8.064879916864896,7.223987273775595,1.617598002031448,0.2911676403656606,0,44.8048884270272,12,-62.44166317398798
1,tech_driven,624267905,24,3,0,1,0,1,3.571428571428571,3.571428571428571,0.03571428571428571,1,0.10714285714285714,0,0.9642857142857142,0.12805145182682964,0.1330949853399872,0.10714285714285714,0.01574851970871781,0.5059987212024201,0.3139332534200059,2.0239948848096807,1.2557330136800235,43.187290424995744,0.8408926430893016,0.6,8.070800896088322,6.629908252999021,1.6504923310504906,0.29708861958908833,0,44.83778275604624,12,-12.43407401862481
2,tech_driven,624267905,24,1,2,1,0,5,3.571428571428571,3.571428571428571,0.07142857142857142,2,0.14285714285714285,0,0.9642857142857142,0.14862767733700055,0.15608039926162132,0.5357142857142857,0.024567690745599773,0.4083647271096481,0.23096517930186145,1.633458908438593,0.923860717207446,40.62457675899059,2.3785208426923967,3,8.024795589640657,2.6462747469482606,3.957620961235287,0.7123717730223516,0,44.58219772022588,11.5968,-4.154651716054737
3,tech_driven,624267905,24,1,2,1,0,5,3.571428571428571,3.571428571428571,0.10714285714285714,3,0.17857142857142858,0,0.9642857142857142,0.15449641608620768,0.15608039926162132,0.5357142857142857,0.02456769074559977,0.38883792829109387,0.19775578443027197,1.555351713164375,0.7910231377210881,40.62457675899059,2.3785208426923967,3,8.029617580214792,2.651096737522395,3.9844097977582535,0.7171937635964856,0,44.608986556748846,11.208550268928,-1.9408614118536534
4,tech_driven,624267905,24,1,2,1,0,5,3.571428571428571,3.571428571428571,0.14285714285714285,4,0.21428571428571427,0,0.9642857142857142,0.15576038854455887,0.15608039926162132,0.5357142857142857,0.02456769074559977,0.38493256852738283,0.19055246287070782,1.539730274109532,0.7622098514828313,40.62457675899059,2.3785208426923967,3,8.03401664873182,2.655495806039423,4.0088490672972945,0.721592832113513,0,44.63342582628789,10.834604281120836,-1.4790218487790057
5,tech_driven,624267905,24,1,2,1,0,5,3.571428571428571,3.571428571428571,0.17857142857142858,5,0.25,0,0.9642857142857142,0.1560162669865297,0.15608039926162132,0.5357142857142857,0.02456769074559977,0.38415149657464065,0.1891117985587949,1.536605986298563,0.75644719423518,40.624576758990585,2.3785208426923967,3,8.038009611672443,2.6594887689800464,4.0310321947452135,0.7255857950541384,0,44.6556089537358,10.474349557708667,-1.3693586626239664
6,tech_driven,624267905,24,1,2,1,0,5,3.571428571428571,3.571428571428571,0.21428571428571427,6,0.2857142857142857,0,0.9642857142857142,0.1560675675886305,0.15608039926162132,0.5357142857142857,0.02456769074559977,0.3839952821840923,0.1888236656964124,1.53598112873637,0.7552946627856496,40.6245767589906,2.3785208426923967,3,8.041612632104146,2.663091789411749,4.051048974921323,0.7291888154858381,0,44.67562573391192,10.127205471380286,-1.3318458707064238
7,tech_driven,624267905,24,1,2,1,0,5,3.571428571428571,3.571428571428571,0.25,7,0.32142857142857145,0,0.9642857142857142,0.15607783271820197,0.15608039926162132,0.5357142857142857,0.02456769074559977,0.38396403930598255,0.18876603912393586,1.5358561572239307,0.7550641564957437,40.6245767589906,2.3785208426923967,3,8.04484124923413,2.6663204065417334,4.068985736754569,0.7324174326158224,0,44.69356249574517,9.792621220041012,-1.3104099065248889
8,tech_driven,624267905,24,1,2,1,0,4,3.571428571428571,3.571428571428571,0.2857142857142857,8,0.35714285714285715,0,0.9642857142857142,0.15641755720508543,0.15652690018264503,0.42857142857142855,0.02387134830379863,0.38474350501607496,0.18875451380944053,1.5389740200643003,0.7550180552377624,40.7345767589906,2.3785208426923967,2.4,8.067510406284361,3.2889895635919646,4.084925498144739,0.735286589666053,0,44.81950225713534,9.470073954332022,-0.6717703046650754
9,tech_driven,624267905,24,1,2,1,0,3,3.571428571428571,3.571428571428571,0.32142857142857145,9,0.39285714285714285,0,0.9642857142857142,0.15649177099144906,0.15665518179060145,0.39285714285714285,0.024867373069671902,0.3864708267295219,0.18875220874654153,1.545883306918088,0.7550088349861661,40.954576758990584,2.3785208426923967,1.7999999999999998,8.109634476807793,3.9311136341153965,4.0989481121638285,0.7378106601894892,0,45.05352487115441,9.159067045491907,-0.03120772255204951
